true_id,true_label,pred_id,pred_label,count,true_class_total,rate_in_true
134,134,135,135,32,131,0.24427480916030533
154,154,153,153,31,131,0.2366412213740458
167,167,171,171,28,105,0.26666666666666666
13,013,11,011,28,131,0.21374045801526717
144,144,143,143,27,131,0.20610687022900764
201,201,200,200,27,131,0.20610687022900764
153,153,154,154,26,128,0.203125
15,015,17,017,24,131,0.183206106870229
135,135,134,134,23,131,0.17557251908396945
143,143,144,144,21,131,0.16030534351145037
154,154,152,152,21,131,0.16030534351145037
200,200,201,201,20,131,0.15267175572519084
11,011,13,013,19,131,0.1450381679389313
61,061,62,062,19,131,0.1450381679389313
199,199,197,197,19,131,0.1450381679389313
139,139,134,134,18,131,0.13740458015267176
84,084,90,090,17,131,0.1297709923664122
132,132,145,145,17,131,0.1297709923664122
67,067,68,068,16,80,0.2
15,015,16,016,16,131,0.12213740458015267
171,171,167,167,16,131,0.12213740458015267
182,182,28,028,15,67,0.22388059701492538
19,019,45,045,15,102,0.14705882352941177
17,017,15,015,15,131,0.11450381679389313
145,145,132,132,15,131,0.11450381679389313
45,045,19,019,14,58,0.2413793103448276
188,188,206,206,14,100,0.14
117,117,116,116,14,101,0.13861386138613863
180,180,177,177,14,113,0.12389380530973451
206,206,188,188,14,119,0.11764705882352941
134,134,139,139,14,131,0.10687022900763359
152,152,154,154,14,131,0.10687022900763359
28,028,182,182,13,131,0.09923664122137404
62,062,61,061,13,131,0.09923664122137404
68,068,67,067,13,131,0.09923664122137404
90,090,84,084,13,139,0.09352517985611511
116,116,117,117,13,139,0.09352517985611511
80,080,81,081,12,86,0.13953488372093023
16,016,15,015,12,131,0.0916030534351145
66,066,68,068,12,131,0.0916030534351145
73,073,151,151,12,131,0.0916030534351145
205,205,53,053,12,131,0.0916030534351145
98,098,97,097,11,83,0.13253012048192772
37,037,93,093,10,113,0.08849557522123894
70,070,71,071,10,131,0.07633587786259542
96,096,90,090,10,131,0.07633587786259542
139,139,136,136,10,131,0.07633587786259542
151,151,149,149,10,131,0.07633587786259542
177,177,180,180,10,131,0.07633587786259542
2,002,1,001,9,103,0.08737864077669903
